aerosol_total_aod,albedo_o2_fph,albedo_slope_o2,albedo_slope_strong_co2,albedo_slope_weak_co2,albedo_strong_co2_fph,albedo_weak_co2_fph,StartOrbitNumber,albedo_o2_abp_0,albedo_o2_abp_1,co2_ratio_idp,dispersion_multiplier_abp,fluorescence_offset_relative_757nm_idp,fluorescence_offset_relative_771nm_idp,h2o_ratio_idp,o2_ratio_idp,reduced_chi_squared_o2_abp,snr_o2_abp,surface_pressure_delta_abp,surface_pressure_offset_abp,temperature_offset_abp,retrieval_altitude,retrieval_aspect,retrieval_azimuth,retrieval_latitude,retrieval_longitude,retrieval_overlap,retrieval_overlap_o2_weak_co2,retrieval_overlap_strong_co2_o2,retrieval_overlap_weak_co2_strong_co2,retrieval_polarization_angle,retrieval_slope,retrieval_solar_azimuth,retrieval_solar_relative_velocity,retrieval_solar_zenith,retrieval_surface_roughness
0.352295,0.297832,-3.17E-05,-1.96E-05,-9.70E-05,0.134752,0.217337,991,0.282716,0.28598,1.04279,0.999994046,0.0111694,0.0158691,1.12067,1.07745,38.743,654.287,55.3206,-500,1.23129,107.459,80.6434,39.5776,29.5609,71.144,93.3752,80.7177,83.5522,87.5033,0.886464,0.180104,218.487,-322.559,29.1814,1.73644
0.659028,0.276795,-3.80E-05,4.09E-06,-0.000107221,0.136235,0.218555,991,0.265345,0.271175,1.04163,0.999993915,0.00689697,0.0197754,1.12292,1.08966,38.0188,606.667,452.264,-500,1.37328,124.705,68.4025,37.4201,30.2184,70.9825,97.653,80.4496,81.1897,83.3113,359.798,0.0411225,217.581,-324.085,29.6407,1.72674
0.722166,0.261246,-3.42E-05,-8.16E-05,-9.52E-05,0.117587,0.197071,991,0.262186,0.267985,1.03979,0.999994204,0.0130615,0.0227051,1.14117,1.08917,37.5764,620.151,402.591,-500,1.55582,125.016,146.749,37.6755,30.2427,70.9662,97.686,83.4265,83.7191,85.8751,0.0648705,0.0189076,217.529,-324.215,29.652,1.64322
0.648026,0.26975,-3.84E-05,-2.12E-05,-8.25E-05,0.0972748,0.181001,991,0.261025,0.265275,1.0423,0.999994043,0.00299072,0.0210571,1.14642,1.08075,31.1514,540.176,242.356,-500,1.19764,125.245,279.469,36.7455,30.2808,70.9827,94.5189,77.6564,80.8511,78.8928,359.259,0.0309259,217.524,-324.122,29.6933,1.80347
0.573928,0.280421,-3.82E-05,-1.49E-05,-7.21E-05,0.114519,0.176572,991,0.259596,0.26495,1.03735,0.999993819,0.0142822,0.0161743,1.11804,1.05536,37.4378,627.704,-151.757,-500,1.74356,130.868,251.398,37.6263,30.4694,70.889,97.7778,85.4926,85.8144,87.9206,0.320496,0.141005,217.185,-324.894,29.8005,1.49773
0.368633,0.246619,-2.11E-05,8.28E-06,-4.48E-05,0.147571,0.178391,991,0.238291,0.236803,1.0304,0.999994788,0.00170898,0.0169678,1.09045,1.0274,49.111,600.705,-779.412,-500,1.27771,139.03,3.74707,37.638,30.6596,70.8226,97.749,85.5811,86.4356,88.3554,0.580587,0.067556,216.895,-325.475,29.9251,1.42112
0.444477,0.280053,-3.12E-05,1.64E-05,-5.55E-05,0.105561,0.155435,991,0.267882,0.269878,1.0423,0.999993625,0.00427246,0.0135498,1.12744,1.04993,35.4124,598.233,-433.431,-500,1.57077,138.673,234.655,36.4108,30.7099,70.8441,96.8487,80.7516,81.7497,81.7816,359.521,0.143659,216.89,-325.355,29.9795,2.64792
0.542775,0.27929,-1.58E-05,-3.90E-05,-8.69E-05,0.153386,0.227059,991,0.271232,0.267706,1.03961,0.999994177,0.0065918,0.0150146,1.1203,1.07367,38.7359,627.667,81.7596,-500,1.39595,142.45,219.715,36.8434,30.8135,70.7938,97.6974,83.4233,83.7661,85.9381,0.0551577,0.0355152,216.708,-325.77,30.04,1.66501
0.755589,0.243073,-1.95E-05,-2.73E-05,-8.61E-05,0.20229,0.25883,991,0.24833,0.243259,1.0376,0.999993687,0.0116577,0.0175781,1.11365,1.08508,41.8747,590.2,152.245,-500,1.67421,147.847,197.846,37.7544,30.9851,70.7053,94.7663,81.5177,84.0354,88.0962,1.1146,0.0540886,216.399,-326.495,30.1381,1.44126
0.580002,0.251365,-1.65E-05,3.16E-05,-5.43E-05,0.161307,0.235184,991,0.250986,0.245742,1.03644,0.99999397,-0.00115967,0.0134888,1.11743,1.08954,33.8004,526.928,58.8218,-500,1.46818,147.436,70.8214,35.7524,30.9813,70.7715,94.5317,77.8217,81.057,78.9516,359.27,0.0496283,216.522,-326.031,30.1706,1.2274
